wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,107,5911000,3304,576,495,81,0,245,0,3,2,242,243,42,39,128,100,23,41,7,13,11,7,31,24,,5,,5,,3,,4,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3305,820,685,135,0,358,1,10,10,348,348,55,48,186,165,31,40,13,18,26,26,37,36,,3,,2,,6,,0,,1,,2,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,3306,881,734,147,0,366,2,5,3,361,363,58,53,206,187,35,52,10,15,13,12,39,33,,1,,1,,6,,1,,0,,0,,0,,0,,0,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,3307,775,674,101,0,376,0,18,13,358,363,74,72,222,201,19,27,8,9,7,9,28,24,,9,,3,,2,,2,,1,,1,,0,,0,,1,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,3308,909,810,99,0,345,0,11,12,334,333,89,77,170,156,14,23,13,15,9,8,39,29,,18,,3,,4,,0,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3309,647,535,112,0,299,0,9,4,290,295,60,51,172,152,13,24,12,17,8,11,25,24,,8,,0,,2,,2,,0,,0,,0,,2,,0,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,3310,815,722,93,0,363,0,10,8,353,355,77,74,198,174,10,21,10,13,20,20,38,31,,11,,1,,5,,3,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4101,814,698,116,0,352,2,9,3,343,349,62,56,202,159,17,45,16,23,8,10,38,38,,7,,2,,4,,3,,0,,0,,0,,0,,0,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,4102,1104,957,147,0,481,1,7,7,474,474,100,84,276,241,37,44,13,23,14,16,34,46,,8,,5,,1,,3,,1,,0,,0,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4103,931,785,146,0,421,2,16,12,405,409,77,63,231,202,32,51,6,13,21,21,38,41,,10,,2,,1,,1,,1,,2,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4104,808,707,101,0,391,0,8,7,383,384,81,67,207,180,34,49,12,24,16,18,33,29,,5,,3,,4,,2,,0,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4105,999,890,109,0,398,0,10,11,388,387,85,70,205,188,19,31,7,9,27,25,45,42,,6,,5,,2,,0,,7,,0,,0,,0,,2,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4106,1066,911,155,0,505,0,5,4,500,501,65,57,304,276,36,49,9,11,26,24,60,48,,19,,2,,6,,2,,2,,3,,1,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4107,581,507,74,0,274,0,5,3,269,271,29,21,156,142,21,27,5,9,10,8,48,37,,10,,2,,8,,3,,0,,3,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4108,596,527,69,0,205,0,3,3,202,202,42,34,111,100,6,18,1,5,13,8,29,26,,3,,1,,2,,1,,1,,0,,2,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4109,679,605,74,0,257,0,5,3,252,254,33,27,136,120,13,20,12,14,10,12,48,37,,12,,2,,4,,1,,1,,3,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4201,748,589,159,0,247,0,3,3,244,244,43,34,157,141,18,20,7,16,8,7,11,16,,3,,3,,2,,0,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4202,943,821,122,0,400,0,9,7,391,393,81,67,216,190,19,33,10,20,10,14,55,43,,14,,2,,3,,2,,0,,3,,1,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4203,732,645,87,0,275,0,6,4,269,271,36,33,159,144,10,15,5,9,12,13,47,35,,11,,1,,5,,2,,0,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4204,1043,867,176,0,430,0,10,10,420,420,82,72,241,207,31,51,9,13,16,16,41,43,,6,,2,,3,,2,,0,,4,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4205,876,764,112,0,356,2,10,10,346,346,63,49,208,170,20,35,6,12,10,13,39,41,,15,,0,,2,,3,,2,,2,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4206,947,820,127,0,425,0,15,10,410,415,75,67,249,222,29,35,16,25,8,4,33,45,,4,,2,,8,,1,,0,,0,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4207,753,642,111,0,324,0,11,11,313,313,52,44,179,164,26,33,10,14,5,8,41,34,,6,,7,,2,,1,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4208,955,834,121,0,371,1,6,5,365,366,62,57,202,183,30,41,9,7,18,19,44,36,,7,,4,,1,,2,,2,,4,,0,,0,,0,,1,,2
13.05.2012,Landtagswahl NRW,107,5911000,4209,1033,898,135,0,386,0,6,2,380,384,66,53,236,200,20,41,10,18,14,12,34,36,,11,,3,,4,,4,,0,,0,,0,,0,,1,,1,,0
