wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,108,5911000,9133,0,0,0,0,468,468,3,3,465,465,119,107,242,202,57,77,10,22,20,20,17,21,,3,,2,,3,,2,,2,,3,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,108,5911000,9261,0,0,0,0,591,591,10,5,581,586,154,134,312,300,42,52,14,31,16,14,43,37,,2,,6,,5,,3,,0,,1,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9262,0,0,0,0,559,559,10,11,549,548,149,129,298,280,32,43,24,34,7,8,39,42,,6,,1,,4,,0,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9263,0,0,0,0,577,577,11,6,566,571,210,196,266,249,28,36,18,37,23,20,21,22,,3,,1,,1,,0,,0,,1,,0,,0,,1,,2,,2
13.05.2012,Landtagswahl NRW,108,5911000,9511,0,0,0,0,662,662,9,6,653,656,173,140,320,276,64,107,21,41,26,21,49,49,,8,,2,,4,,2,,0,,0,,0,,0,,1,,2,,3
13.05.2012,Landtagswahl NRW,108,5911000,9512,0,0,0,0,642,642,13,14,629,628,164,140,312,269,68,87,28,48,10,14,47,52,,8,,0,,7,,1,,0,,0,,0,,1,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9513,0,0,0,0,706,706,10,7,696,699,190,177,382,334,47,89,17,29,18,14,42,43,,3,,2,,5,,1,,0,,0,,1,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,9521,0,0,0,0,435,435,10,4,425,431,105,93,225,191,32,45,10,28,10,12,43,47,,3,,2,,3,,2,,0,,2,,2,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,9522,0,0,0,0,636,636,4,2,632,634,197,168,285,253,79,94,24,56,16,13,31,40,,0,,0,,2,,1,,0,,5,,1,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9523,0,0,0,0,545,545,6,3,539,542,133,128,301,275,53,64,9,18,12,10,31,30,,4,,2,,6,,0,,0,,0,,1,,1,,3,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9531,0,0,0,0,488,488,2,3,486,485,131,97,212,187,54,80,21,45,18,14,50,47,,6,,0,,1,,1,,2,,3,,2,,0,,0,,0,,0
