wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,2104,1015,903,112,0,489,1,8,6,481,483,142,129,232,207,2,12,23,28,45,45,20,15,17,14,,1,,0,,0,,1,0,0,,0,,0,,26,,0,,0,,0,,1,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,2105,1460,1199,261,0,754,0,12,7,742,747,240,210,350,316,8,20,43,63,40,42,27,20,33,22,,4,,0,,2,,0,1,0,,0,,2,,36,,4,,3,,0,,1,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2106,1429,1160,269,0,802,3,11,11,791,791,270,251,377,321,4,14,38,59,48,58,18,14,35,16,,1,,0,,1,,0,1,0,,0,,1,,43,,0,,5,,0,,2,,0,,0,,5
22.09.2013,Bundestagswahl,140,5911000,2201,894,752,142,0,451,0,5,6,446,445,140,117,221,199,9,16,15,23,31,34,15,15,15,13,,0,,0,,3,,0,0,0,,1,,0,,19,,0,,1,,0,,2,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2202,1004,810,194,0,545,2,8,7,537,538,205,175,240,220,5,16,29,32,37,43,10,10,9,6,,0,,0,,0,,0,2,2,,0,,1,,23,,0,,0,,1,,4,,1,,0,,4
22.09.2013,Bundestagswahl,140,5911000,2203,829,699,130,0,379,2,10,11,369,368,100,84,183,158,1,3,18,24,32,33,17,16,18,14,,1,,1,,2,,0,0,0,,0,,0,,25,,1,,1,,1,,1,,0,,1,,2
22.09.2013,Bundestagswahl,140,5911000,2204,888,690,198,0,358,0,4,3,354,355,107,96,166,154,9,15,23,30,26,26,17,12,6,3,,0,,0,,0,,0,0,0,,0,,0,,15,,0,,0,,0,,1,,2,,1,,0
22.09.2013,Bundestagswahl,140,5911000,2205,888,726,162,0,389,1,7,7,382,382,121,105,172,144,1,6,15,30,44,48,19,12,9,10,,1,,0,,0,,0,1,1,,0,,0,,16,,0,,2,,0,,0,,0,,0,,7
22.09.2013,Bundestagswahl,140,5911000,2206,958,753,205,0,518,0,7,7,511,511,227,195,193,176,4,19,24,33,37,45,10,4,15,8,,0,,1,,1,,1,1,0,,1,,0,,25,,1,,0,,0,,0,,1,,0,,0
22.09.2013,Bundestagswahl,140,5911000,2207,848,674,174,0,400,1,7,3,393,397,140,124,174,148,9,12,17,21,26,31,8,12,18,9,,3,,1,,1,,1,1,1,,0,,0,,31,,0,,1,,0,,1,,0,,0,,0
