wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,Gr�ne,Gr�ne,Die Linke,Die Linke,FDP,FDP,AfD,AfD,D7,Piraten,D8,NPD,D9,Die PARTEI,D10,Freie W�hler,D11,Volksabstimmung,D12,�DP,MLPD,MLPD,D14,SGP,D15,Allianz Deutscher Demokraten,D16,BGE,D17,DiB,D18,DKP,D19,DM,D20,Die Humanisten,D21,Gesundheitsforschung,D22,Tierschutzpartei,D23,V-Partei�
24.09.2017,Bundestagswahl,141,5916000,4241,1231,1000,231,0,688,0,8,10,680,678,186,157,263,218,39,54,48,61,48,72,88,88,,5,,2,,4,,2,,0,,0,8,1,,0,,3,,0,,1,,1,,0,,0,,2,,6,,1
24.09.2017,Bundestagswahl,141,5916000,4242,1099,876,223,0,635,1,6,6,629,629,146,148,256,201,36,32,50,56,51,73,88,86,,5,,4,,6,,0,,0,,0,2,1,,0,,2,,0,,0,,0,,0,,0,,2,,12,,1
24.09.2017,Bundestagswahl,141,5916000,4243,1176,991,185,0,688,1,11,8,677,680,122,130,359,305,39,38,44,44,33,49,80,82,,3,,4,,7,,2,,0,,0,0,0,,0,,4,,0,,1,,0,,1,,1,,2,,6,,1
24.09.2017,Bundestagswahl,141,5916000,4244,1112,891,221,0,499,1,12,7,487,492,99,94,219,186,40,26,30,34,32,47,66,65,,8,,3,,0,,1,,2,,0,1,0,,0,,16,,0,,1,,0,,3,,0,,0,,5,,1
24.09.2017,Bundestagswahl,141,5916000,4251,1535,1202,333,0,875,0,18,4,857,871,177,162,375,304,44,52,73,75,71,98,113,123,,3,,5,,9,,5,,0,,0,4,1,,1,,23,,0,,3,,0,,0,,0,,1,,4,,2
24.09.2017,Bundestagswahl,141,5916000,4252,1526,1228,298,0,858,1,12,12,846,846,207,226,374,269,61,72,48,57,51,76,104,113,,3,,3,,7,,0,,0,,1,1,1,,0,,8,,2,,0,,0,,0,,0,,1,,5,,2
24.09.2017,Bundestagswahl,141,5916000,4253,1570,1210,360,0,845,0,15,3,830,842,224,200,356,284,38,46,53,68,62,107,94,100,,6,,6,,5,,6,,0,,1,3,0,,0,,7,,1,,0,,0,,0,,0,,0,,4,,1
24.09.2017,Bundestagswahl,141,5916000,4261,1052,769,283,0,498,2,8,6,490,492,119,123,212,173,34,31,44,50,22,38,53,47,,2,,2,,10,,1,,1,,0,6,2,,0,,3,,1,,1,,0,,1,,1,,0,,4,,1
24.09.2017,Bundestagswahl,141,5916000,4262,1029,796,233,0,536,0,15,9,521,527,105,106,230,173,22,27,51,48,40,47,70,76,,6,,3,,3,,2,,1,,1,3,4,,0,,22,,0,,0,,1,,0,,0,,1,,6,,0
24.09.2017,Bundestagswahl,141,5916000,4263,1096,870,226,0,638,0,9,8,629,630,151,151,263,211,27,35,52,50,47,65,88,90,,3,,1,,6,,1,,3,,0,1,0,,0,,4,,1,,1,,0,,0,,0,,2,,6,,0
24.09.2017,Bundestagswahl,141,5916000,4264,1116,872,244,0,635,4,12,7,623,628,138,125,278,233,39,48,49,56,39,60,79,82,,0,,4,,4,,1,,0,,1,1,0,,0,,0,,3,,1,,0,,0,,2,,0,,8,,0
24.09.2017,Bundestagswahl,141,5916000,4271,1092,851,241,0,568,1,12,2,556,566,152,146,231,186,28,31,49,46,28,50,66,88,,6,,2,,4,,2,,0,,0,2,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0
24.09.2017,Bundestagswahl,141,5916000,4272,1073,856,217,0,616,0,8,8,608,608,161,160,261,206,24,27,31,46,48,53,83,87,,6,,5,,9,,0,,2,,0,0,0,,0,,4,,0,,0,,0,,0,,1,,0,,2,,0
24.09.2017,Bundestagswahl,141,5916000,4273,1037,890,147,0,641,0,13,8,628,633,136,136,293,246,25,24,40,43,52,71,78,81,,2,,2,,4,,2,,1,,0,4,1,,0,,7,,1,,1,,1,,0,,0,,1,,8,,1
24.09.2017,Bundestagswahl,141,5916000,4274,1117,844,273,0,637,2,6,3,631,634,210,206,205,163,50,44,52,55,50,75,64,65,,3,,3,,9,,2,,0,,0,0,0,,0,,0,,0,,1,,0,,0,,2,,0,,5,,1
24.09.2017,Bundestagswahl,141,5916000,9101,0,0,0,0,671,671,4,3,667,668,181,196,299,254,32,31,33,32,50,65,70,70,,0,,0,,8,,1,,0,,1,2,0,,0,,0,,3,,0,,1,,0,,0,,1,,5,,0
24.09.2017,Bundestagswahl,141,5916000,9102,0,0,0,0,844,844,18,12,826,832,231,238,334,288,41,33,55,65,65,76,100,92,,7,,4,,6,,2,,1,,0,0,0,,0,,0,,1,,3,,0,,1,,0,,4,,9,,2
