wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberchtigte,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,SPD,SPD,CDU,CDU,GR�NE,GR�NE,FDP,FDP,PIRATEN,PIRATEN,DIE LINKE,DIE LINKE,D7,NPD,D8,Die PARTEI,D9,FREIE W�HLER,D10,BIG,D11,FBI/FWG,D12,�DP,D13,Volksabstimmung,D14,TIERSCHUTZliste,D15,AD-Demokraten NRW,AfD,AfD,D17,Aufbruch C,D18,BGE,D19,DBD,D20,DKP,D21,ZENTRUM,D22,Die Rechte,D23,REP,D24,DIE VIOLETTEN,D25,JED,MLPD,MLPD,D27,PAN,D28,Gesundheitsforschung,D29,"PARTEILOSE WG ""BRD""",D30,Sch�ner Leben,D31,V-Partei�
14.05.2017,Landtagswahl NRW,109,5911000,2209,804,686,118,0,409,2,6,6,403,403,189,163,105,95,6,12,29,31,8,5,24,25,,3,,1,,3,,0,,0,,1,,0,,4,,2,41,56,,0,,0,,0,,1,,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2210,845,676,169,0,374,1,10,10,364,364,146,132,107,108,22,26,28,34,10,3,26,13,,4,,3,,1,,0,,1,,0,,1,,3,,0,22,31,,1,,0,,0,,0,,0,,2,,0,,0,,0,3,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2301,783,650,133,0,303,4,4,1,299,302,134,125,67,56,15,17,19,21,7,5,25,25,,1,,2,,2,,1,,0,,0,,1,,2,,0,30,39,,0,,0,,0,,0,,1,,0,,1,,0,,1,2,1,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,2302,894,787,107,0,308,0,9,9,299,299,119,106,64,58,11,14,15,17,13,6,28,24,,4,,3,,1,,2,,1,,0,,0,,4,,3,48,50,,1,,0,,0,,0,,1,,0,,0,,0,,2,1,1,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,2303,1075,929,146,0,540,1,4,3,536,537,270,223,106,92,22,29,42,53,6,7,44,49,,6,,3,,0,,4,,0,,0,,0,,6,,0,46,53,,0,,0,,0,,0,,1,,0,,2,,3,,1,0,1,,0,,1,,1,,1,,1
14.05.2017,Landtagswahl NRW,109,5911000,2304,946,793,153,0,403,2,5,5,398,398,160,135,108,100,21,23,37,42,7,4,24,26,,6,,3,,2,,2,,0,,0,,0,,0,,0,41,52,,0,,0,,0,,0,,0,,0,,1,,0,,1,0,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2305,908,766,142,0,374,0,4,4,370,370,169,151,101,92,17,16,13,26,8,3,24,20,,3,,6,,1,,5,,0,,2,,0,,3,,0,36,38,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,2,,0,,0,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5911000,2306,831,759,72,0,284,0,5,6,279,278,100,80,67,66,10,9,22,31,10,3,21,17,,2,,6,,2,,0,,1,,0,,0,,3,,0,49,54,,0,,0,,0,,1,,0,,0,,0,,0,,0,0,0,,1,,0,,0,,2,,0
14.05.2017,Landtagswahl NRW,109,5911000,2307,667,593,74,0,223,0,5,6,218,217,93,72,59,58,9,10,18,16,2,2,9,11,,4,,1,,1,,1,,1,,0,,1,,1,,0,27,36,,0,,1,,0,,0,,0,,0,,0,,0,,0,1,0,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,2401,955,796,159,0,346,1,3,7,343,339,157,122,79,68,8,16,20,33,3,6,40,36,,2,,1,,4,,2,,0,,0,,1,,7,,2,35,36,,0,,0,,0,,0,,1,,0,,0,,0,,2,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2402,1012,865,147,0,517,1,4,3,513,514,229,201,118,118,19,17,48,62,6,2,26,24,,3,,2,,2,,0,,0,,1,,1,,5,,0,65,70,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,1,,0,,1,,0,,3,,1
14.05.2017,Landtagswahl NRW,109,5911000,2403,1081,919,162,0,511,2,6,6,505,505,206,187,124,109,19,20,46,40,5,5,37,33,,9,,1,,6,,7,,1,,0,,0,,3,,0,65,82,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,2,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2404,980,882,98,0,440,1,10,6,430,434,189,166,105,96,17,16,17,26,14,6,26,32,,5,,3,,2,,0,,0,,0,,3,,4,,0,62,70,,0,,1,,0,,0,,0,,2,,0,,0,,0,0,2,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2405,1010,824,186,0,406,1,6,3,400,403,166,156,101,88,17,16,27,40,6,3,24,22,,4,,4,,3,,0,,0,,1,,1,,2,,0,58,59,,0,,0,,0,,0,,0,,1,,1,,1,,0,1,0,,0,,0,,0,,1,,0
